SourceFile,PageNumber,Date,Details,Debit,Credit,Balance
30th April 2025.PDF,1,31 Jan 2025,BALANCE FORWARD,447.06,,
30th April 2025.PDF,1,,V165158435040225NA,140.00,,
30th April 2025.PDF,1,,HAP,29.20,,
30th April 2025.PDF,1,,D/D CLUBWISE SOFTW,48.00,,
30th April 2025.PDF,1,,D/D Electric Irela,65.28,,
30th April 2025.PDF,1,,D/D NAPS LOAN AIB,203.41,,
30th April 2025.PDF,1,,D/D VIRGIN MEDIA I,70.00,,
30th April 2025.PDF,1,,IE25012909968914,171.17,,
30th April 2025.PDF,1,5 Feb 2025,TRANSFER,45.00,,
30th April 2025.PDF,1,,D/D THREE IRELAND,35.39,,
30th April 2025.PDF,1,,IE25020416543211,180.78,,
30th April 2025.PDF,1,6 Feb 2025,V165179435060225NA,327.00,,
30th April 2025.PDF,1,,IE25020618982023,507.78,,
30th April 2025.PDF,1,7 Feb 2025,VDP-Revolut**9877*, ,140.00,
30th April 2025.PDF,1,,*MOBI CARD IANAR,100.00,,
30th April 2025.PDF,1,,D/D Electric Irela,95.43,,
30th April 2025.PDF,1,,VDC-CIRCLE K NEWLA,40.00,,132.35
30th April 2025.PDF,1,10 Feb 2025,HAP,29.20,,103.15
30th April 2025.PDF,1,13 Feb 2025,V165179435130225NA,327.00,,
30th April 2025.PDF,1,,*MOBI RENT MILLPAR,250.00,,180.15
30th April 2025.PDF,1,17 Feb 2025,HAP,29.20,,
30th April 2025.PDF,1,,*MOBI CARD IANAR,55.00,,95.95
30th April 2025.PDF,2,,D/D eFlow,75.23,,
30th April 2025.PDF,2,,IE25021426858104,20.72,,
30th April 2025.PDF,2,18 Feb 2025,IANARA ARAUJO FERN,130.00,,
30th April 2025.PDF,2,,VDP-NETFLIX.COM,8.99,,
30th April 2025.PDF,2,,*MOBI CARD IANAR,121.00,,20.73
30th April 2025.PDF,2,20 Feb 2025,V165179435200225NA,327.00,,
30th April 2025.PDF,2,,*MOBI CARD IANAR,247.00,,100.73
30th April 2025.PDF,2,24 Feb 2025,IANARA ARAUJO FERN,100.00,,
30th April 2025.PDF,2,,HAP,29.20,,
30th April 2025.PDF,2,,*MOBI CARD IANAR,10.00,,
30th April 2025.PDF,2,,D/D NAPS LOAN AIB,83.41,,
30th April 2025.PDF,2,,D/D ROYAL LONDON,64.03,,
30th April 2025.PDF,2,,IE25021931999238,14.09,,
30th April 2025.PDF,2,27 Feb 2025,V165179435270225NA,327.00,,
30th April 2025.PDF,2,,IE25022741243695,341.09,,
30th April 2025.PDF,2,3 Mar 2025,HAP,29.20,,
30th April 2025.PDF,2,,D/D CLUBWISE SOFTW,48.00,,
30th April 2025.PDF,2,,D/D NAPS LOAN AIB,203.41,,
30th April 2025.PDF,2,,VDC-DUNNES CLONDAL,43.21,,
30th April 2025.PDF,2,,VDC-EUROGIANT CLON,6.00,,11.27
30th April 2025.PDF,3,,V165158435040325NA,140.00,,
30th April 2025.PDF,3,,IE25030446928829,151.27,,
30th April 2025.PDF,3,5 Mar 2025,VDC-TOWER MEDICAL,35.00,,116.27
30th April 2025.PDF,3,6 Mar 2025,V165179435060325NA,327.00,,
30th April 2025.PDF,3,,IE25030650041275,443.27,,
30th April 2025.PDF,3,7 Mar 2025,D/D VIRGIN MEDIA I,70.00,,
30th April 2025.PDF,3,,VDC-HICKEYS PHARMA,155.00,,218.27
30th April 2025.PDF,3,10 Mar 2025,HAP,29.20,,
30th April 2025.PDF,3,,D/D THREE IRELAND,35.39,,
30th April 2025.PDF,3,,IE25030751846097,153.68,,
30th April 2025.PDF,3,11 Mar 2025,VDC-DUNNES CLONDAL,41.67,,112.01
30th April 2025.PDF,3,12 Mar 2025,VDC-CONT BOM DIA C,20.10,,
30th April 2025.PDF,3,,"VDC-MCDONALDS, AERO",17.80,,
30th April 2025.PDF,3,,VDC-TD COIMBRA,26.30,,47.81
30th April 2025.PDF,3,13 Mar 2025,V165179435130325NA,327.00,,
30th April 2025.PDF,3,,VDP-FLIXBUS.COM,33.95,,
30th April 2025.PDF,3,,*MOBI RENT MILLPAR,250.00,,90.86
30th April 2025.PDF,3,14 Mar 2025,VDC-EUROGIANT CLON,8.00,,
30th April 2025.PDF,3,,VDC-SUMUP *MBEAUT,48.75,,34.11
30th April 2025.PDF,3,18 Mar 2025,IANARA ARAUJO FERN,54.00,,
30th April 2025.PDF,3,,LN 93338491657575,9993.17,,
30th April 2025.PDF,3,,VDP-NETFLIX INTERN,10.99,,
30th April 2025.PDF,3,,HAP,29.20,,
30th April 2025.PDF,3,,*MOBI CARD IANAR,150.00,,9891.09
30th April 2025.PDF,4,,D/D eFlow,54.43,,
