Account,PageNumber,Date,Detalhes,Debit,Credit,Balance
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,1,26 Nov 2025, Lidl,21.55,,
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,1,26 Nov 2025, Circle K Gas Station,20.00,,
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,1 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,70.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,1 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,65.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,1 Jan 2025,Irish National Lottery,,20.00,45.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,1 Jan 2025,Transfer from Revolut user,,65.00,110.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,1 Jan 2025,To pocket EUR Theo saves from EUR,,110.00,0.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,,65.00,65.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,2.80,62.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,57.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,52.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,,40.00,92.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,Transfer from JESSE' MORELATTO BENATO,,50.00,142.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,132.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Theo saves from EUR,,80.00,52.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,To pocket EUR Theo saves from EUR,,3.00,49.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,2 Jan 2025,Transfer from DANIEL PIROLLI,,50.00,99.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,3 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,94.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,3 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,89.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,3 Jan 2025,To pocket EUR Theo saves from EUR,,25.00,64.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,3 Jan 2025,Circle K Gas Station,,20.00,44.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,3 Jan 2025,Polonez,,29.72,15.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,4 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,10.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,4 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,5.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,2,5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,0.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Transfer from MARCELLY PEDRA REZENDE DA SILVA,,45.00,45.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,35.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,30.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,1.30,28.87
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Pocket Withdrawal,,4.89,33.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Pocket Withdrawal,,4.81,38.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Transfer to Revolut Digital Assets Europe Ltd,,0.37,38.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,International Transfer to Ianara Araujo Fernandes,,4.63,33.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Amazon,,10.98,22.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,Pocket Withdrawal,,18.00,40.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,0.50,40.09
